Address,Price,Beds,Baths,Space
"189 Wanless Ave, Toronto, Ontario M4N 1W4","$1,825,000 CAD",4 BedsBds,2 BathsBa,
"8 BROOKLAWN AVE, Toronto, Ontario M1M2P4","$1,699,000 CAD",5 BedsBds,4 BathsBa,
"3356A Kingston Rd, Toronto, Ontario M1M1R2","$749,000 CAD",3 BedsBds,3 BathsBa,
"442/444 Spadina Ave, Toronto, Ontario M5T2G7","$4,800,000 CAD",7 BedsBds,6 BathsBa,
"85 NEWMARKET AVE, Toronto, Ontario M4C1W1","$899,000 CAD",3 BedsBds,1 BathBa,
"3391 BLOOR ST W 304, Toronto, Ontario M8X1G3","$559,800 CAD",2 BedsBds,1 BathBa,
"27 Cheetah Cres, Toronto, Ontario M1X1X1","$799,900 CAD",3 BedsBds,3 BathsBa,
"14 KING EDWARD AVE, Toronto, Ontario M4C5J6","$1,098,900 CAD",5 BedsBds,3 BathsBa,
"151 Inglewood Dr, Toronto, Ontario M4T1H8","$4,125,000 CAD",6 BedsBds,5 BathsBa,
"120 Homewood Ave 403, Toronto, Ontario M4Y2J3","$674,900 CAD",2 BedsBds,1 BathBa,
"43 ROCKWELL AVE, Toronto, Ontario M6N1N7","$879,000 CAD",6 BedsBds,2 BathsBa,
